代號	名稱	成交量	開盤價	最高	最低	收盤價	漲跌 	本益比	連續漲跌	連續漲跌(%)
8081	致新	275	141.0	143.0	139.5	140.0	+1.0	4.82	連2漲	+1.08%
8101	華冠	197	2.20	2.20	2.17	2.17	0.00	6.20	連2平	0.00%
8103	瀚荃	768	35.00	35.30	34.80	35.20	+0.75	8.14	連3漲	+6.13%
8104	錸寶	283	39.30	40.15	39.25	39.85	+1.25	29.92	連3跌→漲	+3.24%
8105	凌巨	2675	11.45	11.75	11.40	11.50	+0.15	11.46	連2跌→漲	+1.32%
8110	華東	554	12.15	12.45	12.15	12.40	+0.35	25.10	連3跌→漲	+2.90%
8112	至上	1581	36.45	36.85	36.45	36.70	+0.05	5.31	連3跌→漲	+0.14%
8112A	至上甲特	30	41.65	41.80	41.65	41.80	+0.10	-	平→漲	+0.24%
8114	振樺電	9658	163.5	169.0	161.0	166.0	-1.0	19.22	連5漲→跌	-0.60%
8131	福懋科	255	37.95	38.20	37.80	38.00	+0.30	8.40	連3漲	+2.98%
8150	南茂	4746	34.55	35.15	34.55	34.90	+0.70	4.64	連2漲	+2.65%
8163	達方	1640	39.70	40.70	39.15	40.45	+1.40	9.17	平→漲	+3.59%
